epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
54,1986.43,0.66772,0.81489,1.09199,0.1173,0.99567,0.98988,0.99494,0.88616,0.5306,0.60853,1.04614,0.1023,0.00838141,0.00838141,0.00838141
55,1996.92,0.65535,0.82408,1.07889,0.11815,0.99476,0.98724,0.99471,0.8936,0.50778,0.60231,1.0462,0.09423,0.00832349,0.00832349,0.00832349
56,2017.64,0.6679,0.82109,1.07067,0.11401,0.9954,0.99337,0.99494,0.89495,0.50171,0.59543,1.0534,0.09406,0.00826477,0.00826477,0.00826477
57,2027.54,0.6711,0.8308,1.08708,0.12272,0.99484,0.99927,0.99457,0.89106,0.52573,0.59474,1.05554,0.09509,0.00820525,0.00820525,0.00820525
58,2031.76,0.68017,0.86917,1.06832,0.12271,0.99123,0.995,0.99488,0.88824,0.51989,0.59983,1.04398,0.09241,0.00814495,0.00814495,0.00814495
59,2038.25,0.66424,0.81368,1.07429,0.11326,0.98891,0.99917,0.99425,0.8874,0.52038,0.61372,1.05227,0.09768,0.00808389,0.00808389,0.00808389
60,2049.51,0.64477,0.79119,1.10051,0.11123,0.99452,0.99752,0.995,0.89472,0.50021,0.58762,1.04641,0.09533,0.00802208,0.00802208,0.00802208
61,2281.9,0.65098,0.81125,1.07754,0.11027,0.98609,0.99168,0.99464,0.8907,0.51307,0.59994,1.04995,0.09068,0.00795954,0.00795954,0.00795954
62,2287.34,0.66219,0.82585,1.06292,0.11524,0.97452,0.9962,0.9944,0.88011,0.53139,0.63008,1.07149,0.09777,0.00789628,0.00789628,0.00789628
63,2301.75,0.63724,0.78524,1.07727,0.10751,0.98883,0.99171,0.99445,0.89379,0.50463,0.60861,1.05347,0.08927,0.00783231,0.00783231,0.00783231
64,2308.08,0.68019,0.84092,1.0616,0.12275,0.97991,0.99162,0.99447,0.89522,0.50116,0.61189,1.03793,0.09346,0.00776766,0.00776766,0.00776766
65,2314.44,0.64558,0.77572,1.07042,0.11689,0.9924,0.98649,0.99428,0.89481,0.49981,0.60916,1.04103,0.09361,0.00770234,0.00770234,0.00770234
66,2319.68,0.65741,0.80342,1.06706,0.11435,0.98428,0.99286,0.99444,0.89743,0.50564,0.61333,1.05461,0.08814,0.00763637,0.00763637,0.00763637
67,2324.71,0.64357,0.79707,1.05535,0.11153,0.99712,0.99624,0.995,0.90309,0.49053,0.5885,1.04227,0.09602,0.00756976,0.00756976,0.00756976
68,2473.94,0.64968,0.80117,1.07953,0.11267,0.98763,0.98861,0.99485,0.89935,0.49971,0.61322,1.06722,0.09228,0.00750252,0.00750252,0.00750252
69,2577.09,0.64162,0.77847,1.06274,0.10773,0.98366,0.99432,0.99426,0.90079,0.48798,0.59291,1.05517,0.08629,0.00743468,0.00743468,0.00743468
70,2597.43,0.64353,0.78161,1.0816,0.10785,0.985,0.99549,0.99482,0.89644,0.50915,0.60028,1.05733,0.09577,0.00736625,0.00736625,0.00736625
71,2647.55,0.65914,0.80839,1.06221,0.11229,0.99078,0.99016,0.99406,0.88931,0.522,0.60653,1.0427,0.08683,0.00729725,0.00729725,0.00729725
72,2841.44,0.64399,0.80162,1.08573,0.10695,0.98981,0.99253,0.99385,0.898,0.50874,0.60359,1.04273,0.09029,0.0072277,0.0072277,0.0072277
73,3038.54,0.6405,0.77313,1.08367,0.11057,0.99363,0.99492,0.99465,0.89651,0.51865,0.58716,1.05034,0.08865,0.00715761,0.00715761,0.00715761
74,3047.94,0.64055,0.76277,1.05978,0.10641,0.99069,0.98382,0.99466,0.88953,0.52165,0.63956,1.05428,0.08707,0.007087,0.007087,0.007087
75,3168.96,0.63866,0.77948,1.06608,0.11267,0.99376,0.99339,0.99493,0.90093,0.48896,0.58404,1.05138,0.08804,0.00701588,0.00701588,0.00701588
76,3174.78,0.65213,0.79642,1.05675,0.11141,0.98441,0.98194,0.99422,0.89742,0.49294,0.62802,1.03918,0.09608,0.00694428,0.00694428,0.00694428
77,3221.89,0.61682,0.73429,1.08619,0.10586,0.99363,0.99123,0.99477,0.89377,0.49386,0.5858,1.04166,0.08339,0.00687222,0.00687222,0.00687222
78,3258.51,0.62564,0.75758,1.05683,0.1065,0.98833,0.9953,0.9947,0.89168,0.51426,0.59649,1.04575,0.08809,0.0067997,0.0067997,0.0067997
79,3309.55,0.65089,0.79672,1.05562,0.10967,0.98939,0.99752,0.99437,0.88934,0.52283,0.59361,1.05106,0.09117,0.00672675,0.00672675,0.00672675
80,3326.32,0.65078,0.79732,1.0503,0.11005,0.99105,0.99001,0.99468,0.88456,0.51793,0.58397,1.05898,0.08865,0.00665339,0.00665339,0.00665339
81,3412.33,0.64156,0.78112,1.08142,0.10483,0.99443,0.99186,0.99465,0.8947,0.49838,0.59641,1.04352,0.08585,0.00657963,0.00657963,0.00657963
82,3459.91,0.6387,0.76612,1.0556,0.10983,0.99322,0.99759,0.99497,0.89577,0.50834,0.58132,1.04731,0.09247,0.0065055,0.0065055,0.0065055
83,3544.79,0.64214,0.77681,1.08348,0.11311,0.99302,0.9933,0.9949,0.89491,0.49746,0.56183,1.0569,0.09309,0.00643101,0.00643101,0.00643101
84,3595.86,0.63787,0.76023,1.08725,0.10731,0.99061,0.99933,0.995,0.89891,0.50607,0.57452,1.08494,0.08333,0.00635617,0.00635617,0.00635617
85,3601.32,0.63755,0.76062,1.06424,0.11223,0.99809,0.99448,0.995,0.89485,0.50742,0.56269,1.06071,0.0827,0.00628101,0.00628101,0.00628101
86,3646.04,0.6366,0.7655,1.07134,0.10629,0.99798,0.99896,0.995,0.9051,0.48284,0.5508,1.04563,0.08486,0.00620555,0.00620555,0.00620555
87,3663.61,0.63284,0.76844,1.06975,0.10681,0.9941,0.991,0.995,0.89955,0.49179,0.56714,1.05639,0.08895,0.00612981,0.00612981,0.00612981
88,3746.17,0.61987,0.75539,1.06948,0.10328,0.99423,0.9883,0.99485,0.89935,0.49,0.57682,1.03947,0.0898,0.0060538,0.0060538,0.0060538
89,3803.4,0.62997,0.76061,1.06638,0.10898,0.99013,0.99497,0.995,0.90015,0.4915,0.58268,1.0359,0.08839,0.00597754,0.00597754,0.00597754
90,3809.39,0.63209,0.76147,1.0638,0.11024,0.99228,0.99624,0.995,0.89881,0.48949,0.56233,1.04747,0.08989,0.00590105,0.00590105,0.00590105
91,3968.99,0.63484,0.76877,1.06552,0.10298,0.99521,0.98969,0.9949,0.9001,0.48429,0.56187,1.04563,0.08737,0.00582435,0.00582435,0.00582435
92,3996.36,0.62104,0.74946,1.06445,0.1025,0.99315,0.9923,0.99494,0.89749,0.49826,0.55993,1.05356,0.08302,0.00574746,0.00574746,0.00574746
93,4007.3,0.62238,0.75192,1.07916,0.10585,0.99604,0.99422,0.99474,0.8992,0.48743,0.56131,1.04664,0.08716,0.0056704,0.0056704,0.0056704
94,4309.69,0.61881,0.7471,1.0678,0.10253,0.99627,0.99737,0.99497,0.89604,0.49604,0.55024,1.04164,0.09371,0.00559318,0.00559318,0.00559318
95,4314.64,0.62729,0.76031,1.05258,0.10289,0.99118,0.99171,0.99471,0.89211,0.50995,0.57189,1.0474,0.10772,0.00551584,0.00551584,0.00551584
96,4320.78,0.61676,0.73785,1.05326,0.10277,0.99132,0.98826,0.99475,0.89705,0.48984,0.58481,1.02989,0.09375,0.00543837,0.00543837,0.00543837
97,4327.79,0.62831,0.76366,1.04777,0.1035,0.99623,0.99695,0.995,0.8873,0.51461,0.57403,1.04745,0.08497,0.00536081,0.00536081,0.00536081
98,4334.83,0.61613,0.74371,1.07105,0.09661,0.99779,0.99429,0.995,0.89745,0.49202,0.54465,1.03114,0.07779,0.00528318,0.00528318,0.00528318
99,4340.57,0.62137,0.74517,1.06979,0.10305,0.9899,0.99258,0.99496,0.90553,0.48375,0.55627,1.02534,0.07792,0.00520548,0.00520548,0.00520548
100,4388.23,0.59802,0.71972,1.07916,0.09739,0.98868,0.99641,0.99496,0.88803,0.51321,0.56796,1.04377,0.07824,0.00512775,0.00512775,0.00512775
101,4449.46,0.62232,0.74387,1.05674,0.10311,0.99356,0.9947,0.99496,0.90123,0.4824,0.54888,1.02561,0.08449,0.00505,0.00505,0.00505
102,4480.15,0.60953,0.73021,1.06,0.09882,0.99208,0.99758,0.995,0.90399,0.48625,0.55035,1.03547,0.08557,0.00497225,0.00497225,0.00497225
103,4608.37,0.58828,0.70075,1.04261,0.09374,0.99496,0.99399,0.99485,0.90939,0.47005,0.57033,1.02026,0.0818,0.00489452,0.00489452,0.00489452
104,4727.74,0.61804,0.72484,1.04463,0.09918,0.99545,0.99381,0.99488,0.90633,0.47019,0.55027,1.024,0.0846,0.00481682,0.00481682,0.00481682
105,4734.08,0.62253,0.75326,1.04124,0.10342,0.99591,0.99373,0.99494,0.90036,0.49347,0.56267,1.03534,0.08293,0.00473919,0.00473919,0.00473919
106,4752.6,0.60194,0.718,1.05983,0.10057,0.99744,0.99065,0.9925,0.89643,0.48208,0.55649,1.03742,0.08226,0.00466163,0.00466163,0.00466163
107,4759.27,0.60934,0.73895,1.05175,0.10079,0.99011,0.99678,0.99494,0.89774,0.4903,0.55601,1.03224,0.08518,0.00458416,0.00458416,0.00458416
108,4879.43,0.59399,0.70835,1.04274,0.0981,0.99738,0.9979,0.995,0.90689,0.4691,0.52914,1.01825,0.08095,0.00450682,0.00450682,0.00450682
109,4888.73,0.60288,0.7113,1.04584,0.09858,0.99746,0.99741,0.995,0.90624,0.47348,0.5361,1.0166,0.08048,0.0044296,0.0044296,0.0044296
110,5011.52,0.59887,0.70261,1.06128,0.09765,0.99224,0.99354,0.99475,0.90281,0.47809,0.55714,1.01749,0.07912,0.00435254,0.00435254,0.00435254
111,5036.7,0.60057,0.7053,1.05153,0.10059,0.98893,0.98829,0.99459,0.91084,0.46013,0.54239,1.01139,0.07525,0.00427565,0.00427565,0.00427565
112,5044.58,0.60933,0.72998,1.04128,0.09697,0.98638,0.98767,0.98939,0.907,0.46039,0.5517,1.01122,0.07939,0.00419895,0.00419895,0.00419895
113,5171.78,0.6185,0.74335,1.04156,0.10068,0.99116,0.99097,0.99462,0.89874,0.48876,0.55404,1.02605,0.0829,0.00412246,0.00412246,0.00412246
114,5273.08,0.60535,0.71877,1.05283,0.09902,0.9898,0.98873,0.99476,0.89513,0.49141,0.55973,1.02792,0.08523,0.0040462,0.0040462,0.0040462
115,5281.35,0.6097,0.72976,1.04046,0.09963,0.99598,0.9912,0.99458,0.90529,0.4597,0.5483,1.0126,0.07923,0.00397019,0.00397019,0.00397019
116,5287.3,0.6069,0.72097,1.04594,0.09946,0.9916,0.99025,0.9947,0.9066,0.46357,0.54418,1.0175,0.07759,0.00389445,0.00389445,0.00389445
117,5312.26,0.60039,0.69732,1.06392,0.09829,0.99426,0.9937,0.99481,0.9089,0.47334,0.54204,1.02586,0.07758,0.00381899,0.00381899,0.00381899
118,5320.74,0.59926,0.71623,1.05028,0.0908,0.99356,0.99811,0.99457,0.89793,0.49621,0.53733,1.03691,0.08393,0.00374383,0.00374383,0.00374383
119,5333.48,0.62349,0.73688,1.0355,0.09872,0.99086,0.9971,0.99477,0.90037,0.4919,0.5376,1.03134,0.08131,0.00366899,0.00366899,0.00366899
120,5341.73,0.57949,0.68772,1.03676,0.08955,0.99323,0.99205,0.99488,0.90241,0.47773,0.528,1.02563,0.07736,0.0035945,0.0035945,0.0035945
121,5347.02,0.58971,0.69037,1.0393,0.09498,0.99125,0.99355,0.99462,0.90502,0.4793,0.53437,1.03125,0.0782,0.00352037,0.00352037,0.00352037
122,5410.18,0.59382,0.68911,1.06984,0.0957,0.9863,0.99,0.99128,0.90142,0.4721,0.56517,1.03492,0.07544,0.00344661,0.00344661,0.00344661
123,5478.53,0.62247,0.74569,1.05366,0.10155,0.98877,0.99293,0.99461,0.90627,0.46873,0.54342,1.01741,0.07371,0.00337325,0.00337325,0.00337325
124,5486.01,0.60981,0.72286,1.04285,0.09493,0.99843,0.99815,0.995,0.906,0.46875,0.51504,1.0229,0.07672,0.0033003,0.0033003,0.0033003
125,5504.86,0.5965,0.70297,1.04075,0.0962,0.99187,0.99812,0.9949,0.91098,0.46461,0.52048,1.02903,0.08156,0.00322778,0.00322778,0.00322778
126,5553.05,0.60341,0.70671,1.02601,0.09928,0.98693,0.99716,0.9948,0.90243,0.4767,0.53131,1.03386,0.07608,0.00315572,0.00315572,0.00315572
127,5559.07,0.59962,0.71487,1.0329,0.0986,0.98051,0.99884,0.99473,0.90293,0.47558,0.53936,1.04131,0.07942,0.00308412,0.00308412,0.00308412
128,5578.5,0.58559,0.68235,1.04214,0.0927,0.98844,0.99364,0.99482,0.90619,0.47221,0.53948,1.03933,0.07885,0.003013,0.003013,0.003013
129,5584.9,0.59043,0.69073,1.02048,0.09484,0.99809,0.98581,0.99491,0.90539,0.47843,0.53669,1.03856,0.08055,0.00294239,0.00294239,0.00294239
130,5590.45,0.58181,0.69757,1.03716,0.09449,0.99158,0.99353,0.99491,0.91028,0.46066,0.53055,1.03103,0.08133,0.0028723,0.0028723,0.0028723
131,5595.34,0.58636,0.68938,1.03077,0.09346,0.9905,0.99524,0.99485,0.90386,0.4904,0.54822,1.03887,0.07994,0.00280275,0.00280275,0.00280275
132,5667.82,0.58555,0.69495,1.02908,0.0886,0.99065,0.99809,0.99408,0.90224,0.47511,0.53474,1.03587,0.08612,0.00273375,0.00273375,0.00273375
133,5739.78,0.57213,0.66687,1.0471,0.08941,0.99594,0.9965,0.99487,0.90447,0.47194,0.52223,1.04178,0.08268,0.00266532,0.00266532,0.00266532
134,5780.31,0.58614,0.68943,1.0374,0.09281,0.99777,0.99919,0.995,0.91262,0.46278,0.50338,1.03744,0.08263,0.00259748,0.00259748,0.00259748
135,5788.26,0.56522,0.66389,1.02744,0.08595,0.9898,0.99872,0.99419,0.90406,0.47237,0.52152,1.02871,0.07824,0.00253024,0.00253024,0.00253024
136,5909.19,0.59459,0.69202,1.05552,0.09481,0.99595,0.99215,0.99494,0.90546,0.47474,0.52422,1.02367,0.08322,0.00246363,0.00246363,0.00246363
137,5914.3,0.5908,0.69427,1.02526,0.0905,0.98809,0.99473,0.99464,0.90225,0.46299,0.52617,1.0245,0.08029,0.00239766,0.00239766,0.00239766
138,5956.04,0.59216,0.68826,1.03684,0.09374,0.98747,0.99639,0.99237,0.89941,0.48385,0.54766,1.03111,0.08021,0.00233234,0.00233234,0.00233234
139,6109.49,0.5813,0.68412,1.02974,0.0864,0.99263,0.99432,0.99235,0.90914,0.45971,0.53694,1.02046,0.08356,0.00226769,0.00226769,0.00226769
140,6150.61,0.57285,0.67076,1.03794,0.08675,0.99449,0.99347,0.99494,0.91364,0.46108,0.52072,1.01738,0.08134,0.00220372,0.00220372,0.00220372
141,6158.02,0.58801,0.68487,1.02706,0.08869,0.99779,0.99681,0.995,0.91006,0.46651,0.51817,1.01375,0.07736,0.00214046,0.00214046,0.00214046
142,6327.14,0.56677,0.66716,1.03102,0.08947,0.99247,0.9975,0.99487,0.90562,0.46439,0.51908,1.00756,0.0769,0.00207792,0.00207792,0.00207792
143,6402.64,0.58501,0.68019,1.03638,0.09003,0.99122,0.99396,0.9949,0.89813,0.4915,0.53993,1.02768,0.08327,0.00201611,0.00201611,0.00201611
144,6412.65,0.57706,0.67587,1.0515,0.08909,0.98824,0.99524,0.99478,0.90225,0.47768,0.53973,1.02481,0.08315,0.00195505,0.00195505,0.00195505
145,6427.53,0.58764,0.69762,1.02265,0.08846,0.98956,0.99643,0.99488,0.91123,0.4635,0.518,1.01126,0.08426,0.00189475,0.00189475,0.00189475
146,6445.81,0.574,0.66918,1.02143,0.08927,0.99252,0.9951,0.99482,0.91493,0.45918,0.52159,1.01518,0.08096,0.00183523,0.00183523,0.00183523
147,6581.52,0.56167,0.6546,1.02189,0.08609,0.99557,0.99496,0.99485,0.91294,0.45519,0.51081,1.01958,0.07911,0.00177651,0.00177651,0.00177651
148,6671.41,0.58689,0.67477,1.02895,0.09096,0.99562,0.99491,0.99491,0.91024,0.47045,0.525,1.01898,0.07829,0.00171859,0.00171859,0.00171859
149,6898.3,0.58622,0.69536,1.01389,0.09238,0.99337,0.99775,0.99497,0.90827,0.47877,0.51573,1.01873,0.07924,0.00166149,0.00166149,0.00166149
150,7044.66,0.5797,0.68685,1.02692,0.09059,0.99335,0.99271,0.99468,0.91404,0.45611,0.51395,1.01254,0.07695,0.00160523,0.00160523,0.00160523
151,7050.62,0.60459,0.70703,1.03538,0.098,0.99246,0.98876,0.99482,0.91617,0.46103,0.51021,1.0133,0.07782,0.00154982,0.00154982,0.00154982
152,7058.92,0.57601,0.67265,1.02477,0.0884,0.98728,0.99389,0.99484,0.90818,0.46255,0.51262,1.01346,0.07954,0.00149527,0.00149527,0.00149527
153,7171.09,0.56819,0.66015,1.0331,0.08608,0.9916,0.99525,0.99462,0.90899,0.46408,0.51033,1.01595,0.08246,0.00144161,0.00144161,0.00144161
154,7189.34,0.58065,0.68634,1.05,0.09015,0.99259,0.99412,0.99442,0.90878,0.47253,0.51627,1.02018,0.08189,0.00138883,0.00138883,0.00138883
155,7200.36,0.59441,0.69161,1.01982,0.0955,0.9914,0.99444,0.99473,0.91156,0.4602,0.51765,1.01636,0.07822,0.00133695,0.00133695,0.00133695
156,7221.98,0.57615,0.67088,1.02338,0.08714,0.99168,0.99413,0.99485,0.90871,0.47462,0.52015,1.02306,0.07677,0.00128599,0.00128599,0.00128599
157,7240.95,0.58746,0.69717,1.01463,0.09017,0.98852,0.99915,0.99481,0.91031,0.47409,0.51656,1.02804,0.08189,0.00123596,0.00123596,0.00123596
158,7330.47,0.59382,0.69184,1.03083,0.09159,0.99037,0.99885,0.99484,0.90813,0.46766,0.50669,1.02033,0.07934,0.00118687,0.00118687,0.00118687
159,7337.02,0.58737,0.7012,1.02038,0.08821,0.98953,0.99895,0.99487,0.91138,0.45719,0.50515,1.02109,0.077,0.00113873,0.00113873,0.00113873
160,7341.78,0.57232,0.67263,1.01078,0.08985,0.98989,0.99888,0.99493,0.90873,0.47127,0.50554,1.0218,0.07986,0.00109156,0.00109156,0.00109156
161,7347.37,0.58301,0.67511,1.02855,0.08889,0.99264,0.99458,0.99434,0.9095,0.46761,0.50708,1.02412,0.08229,0.00104537,0.00104537,0.00104537
